filename,text
001.wav,"The sky is clear and the sun is shining."
002.wav,"I’ll meet you at the park in the afternoon."
003.wav,"Are you coming to the meeting tomorrow?"
004.wav,"Can you explain how this works?"
005.wav,"Please pass me the document."
006.wav,"Take a left at the next intersection."
007.wav,"Wow, this is amazing!"
008.wav,"I can’t believe we actually did it!"
009.wav,"I’m so happy to see you again!"
010.wav,"Today’s been such a great day."
011.wav,"It’s been a difficult week for everyone."
012.wav,"I really miss those times."
013.wav,"Oh no!"
014.wav,"That’s incredible!"